type,name,link,difficulty
Arrays & Hashing, Contains Duplicate ,https://leetcode.com/problems/contains-duplicate/,Easy
Arrays & Hashing, Valid Anagram ,https://leetcode.com/problems/valid-anagram/,Easy
Arrays & Hashing, Concatenation of Array ,https://leetcode.com/problems/concatenation-of-array/,Easy
Arrays & Hashing, Replace Elements With Greatest Element On Right Side ,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side/,Easy
Arrays & Hashing, Is Subsequence ,https://leetcode.com/problems/is-subsequence/,Easy
Arrays & Hashing, Length of Last Word ,https://leetcode.com/problems/length-of-last-word/,Easy
Arrays & Hashing, Two Sum ,https://leetcode.com/problems/two-sum/,Easy
Arrays & Hashing, Longest Common Prefix ,https://leetcode.com/problems/longest-common-prefix/,Easy
Arrays & Hashing, Group Anagrams ,https://leetcode.com/problems/group-anagrams/,Medium
Arrays & Hashing, Pascals Triangle ,https://leetcode.com/problems/pascals-triangle/,Easy
Arrays & Hashing, Remove Element ,https://leetcode.com/problems/remove-element/,Easy
Arrays & Hashing, Unique Email Addresses ,https://leetcode.com/problems/unique-email-addresses/,Easy
Arrays & Hashing, Isomorphic Strings ,https://leetcode.com/problems/isomorphic-strings/,Easy
Arrays & Hashing, Can Place Flowers ,https://leetcode.com/problems/can-place-flowers/,Easy
Arrays & Hashing, Majority Element ,https://leetcode.com/problems/majority-element/,Easy
Arrays & Hashing, Next Greater Element I ,https://leetcode.com/problems/next-greater-element-i/,Easy
Arrays & Hashing, Find Pivot Index ,https://leetcode.com/problems/find-pivot-index/,Easy
Arrays & Hashing, Range Sum Query - Immutable ,https://leetcode.com/problems/range-sum-query-immutable/,Easy
Arrays & Hashing, Find All Numbers Disappeared in An Array ,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/,Easy
Arrays & Hashing, Maximum Number of Balloons ,https://leetcode.com/problems/maximum-number-of-balloons/,Easy
Arrays & Hashing, Word Pattern ,https://leetcode.com/problems/word-pattern/,Easy
Arrays & Hashing, Design HashMap ,https://leetcode.com/problems/design-hashmap/,Easy
Arrays & Hashing, Sort an Array ,https://leetcode.com/problems/sort-an-array/,Medium
Arrays & Hashing, Top K Frequent Elements ,https://leetcode.com/problems/top-k-frequent-elements/,Medium
